,date,MT_330,tmpf,dwpf,relh,drct,sknt,p01i,alti,vsby,feel
0,2014-09-18 21:00:00,123.071875,66.2,62.6,88.18,0,2.00,0.0,29.83,6.21,66.2
1,2014-09-18 22:00:00,95.7640625,64.4,60.8,88.09,90.00,4.00,0.0,29.83,6.21,64.4
2,2014-09-18 23:00:00,64.0046875,62.6,60.8,93.83,100.00,3.00,0.0,29.83,6.21,62.6
3,2014-09-19 00:00:00,64.1609375,62.6,60.8,93.83,70.00,2.00,0.0,29.83,6.21,62.6
4,2014-09-19 01:00:00,61.815625,60.8,60.8,100.0,30.00,2.00,0.0,29.83,6.21,60.8
5,2014-09-19 02:00:00,58.84375,59.0,59.0,100.0,90.00,4.00,0.0,29.83,6.21,59.0
6,2014-09-19 03:00:00,55.5609375,59.0,59.0,100.0,90.00,3.00,0.0,29.83,6.21,59.0
7,2014-09-19 04:00:00,52.11875,59.0,59.0,100.0,120.00,2.00,0.0,29.83,6.21,59.0
8,2014-09-19 05:00:00,46.803125,59.0,57.2,93.74,120.00,4.00,0.0,29.83,6.21,59.0
9,2014-09-19 06:00:00,63.690625,60.8,59.0,93.79,120.00,3.00,0.0,29.83,6.21,60.8
10,2014-09-19 07:00:00,96.3890625,64.4,62.6,93.88,60.00,3.00,0.0,29.85,6.21,64.4
11,2014-09-19 08:00:00,87.965625,66.2,62.6,88.18,60.00,3.00,0.0,29.85,6.21,66.2
12,2014-09-19 09:00:00,108.653125,69.8,62.6,77.9,0,2.00,0.0,29.85,6.21,69.8
13,2014-09-19 10:00:00,118.05625,73.4,62.6,68.94,140.00,6.00,0.0,29.85,6.21,73.4
14,2014-09-19 11:00:00,117.7421875,73.4,62.6,68.94,140.00,4.00,0.0,29.85,6.21,73.4
15,2014-09-19 12:00:00,121.034375,77.0,60.8,57.36,160.00,4.00,0.0,29.85,6.21,77.0
16,2014-09-19 13:00:00,117.1171875,78.8,62.6,57.6,180.00,4.00,0.0,29.85,6.21,80.31
17,2014-09-19 14:00:00,114.6078125,78.8,62.6,57.6,0,2.00,0.0,29.85,6.21,80.31
18,2014-09-19 15:00:00,130.125,80.6,62.6,54.3,130.00,7.00,0.0,29.83,6.21,81.84
19,2014-09-19 16:00:00,131.6921875,77.0,64.4,65.12,130.00,8.00,0.0,29.85,6.21,77.0
20,2014-09-19 17:00:00,114.765625,75.2,64.4,69.14,160.00,7.00,0.0,29.85,6.21,75.2
21,2014-09-19 18:00:00,117.5875,73.4,64.4,73.44,190.00,7.00,0.0,29.88,6.21,73.4
22,2014-09-19 19:00:00,125.7359375,71.6,62.6,73.27,180.00,7.00,0.0,29.88,6.21,71.6
23,2014-09-19 20:00:00,132.159375,68.0,60.8,77.75,180.00,5.00,0.0,29.88,6.21,68.0
24,2014-09-19 21:00:00,129.65156249999998,68.0,60.8,77.75,200.00,4.00,0.0,29.91,6.21,68.0
25,2014-09-19 22:00:00,86.33125,66.2,60.8,82.74,170.00,6.00,0.0,29.91,6.21,66.2
26,2014-09-19 23:00:00,52.5890625,64.4,59.0,82.62,150.00,3.00,0.0,29.91,6.21,64.4
27,2014-09-20 00:00:00,52.7453125,62.6,59.0,88.0,0.00,0.00,0.0,29.91,6.21,62.6
28,2014-09-20 01:00:00,51.025,62.6,59.0,88.0,160.00,3.00,0.0,29.91,6.21,62.6
