,time,cpu_usage,memory_usage,max_capacity,cpu_percentage,memory_percentage,day_of_month,week_day_id,week_number_in_month,date
0,1,9.35546875,5.33544921875,17.0,0.55,0.31,1.0,2.0,0.0,2019-05-01 00:00:00
1,2,6.7392578125,3.58447265625,10.0,0.67,0.36,1.0,2.0,0.0,2019-05-01 01:00:00
2,3,5.6728515625,2.91748046875,8.0,0.71,0.36,1.0,2.0,0.0,2019-05-01 02:00:00
3,4,3.8515625,2.50048828125,5.0,0.77,0.5,1.0,2.0,0.0,2019-05-01 03:00:00
4,5,3.529296875,3.00048828125,5.0,0.71,0.6,1.0,2.0,0.0,2019-05-01 04:00:00
5,6,3.076171875,1.66748046875,5.0,0.62,0.33,1.0,2.0,0.0,2019-05-01 05:00:00
6,7,3.126953125,1.50048828125,4.0,0.78,0.38,1.0,2.0,0.0,2019-05-01 06:00:00
7,8,3.41796875,2.00048828125,4.0,0.85,0.5,1.0,2.0,0.0,2019-05-01 07:00:00
8,9,3.484375,2.16748046875,5.0,0.7,0.43,1.0,2.0,0.0,2019-05-01 08:00:00
9,10,3.6728515625,2.2509765625,6.0,0.61,0.38,1.0,2.0,0.0,2019-05-01 09:00:00
10,11,46.478515625,27.34130859375,69.0,0.67,0.4,1.0,2.0,0.0,2019-05-01 10:00:00
11,12,198.38671875,114.712890625,322.0,0.62,0.36,1.0,2.0,0.0,2019-05-01 11:00:00
12,13,223.953125,131.89208984375,372.0,0.6,0.35,1.0,2.0,0.0,2019-05-01 12:00:00
13,14,172.49609375,100.709716796875,282.0,0.61,0.36,1.0,2.0,0.0,2019-05-01 13:00:00
14,15,190.14453125,111.048095703125,313.0,0.61,0.35,1.0,2.0,0.0,2019-05-01 14:00:00
15,16,197.908203125,116.71728515625,326.0,0.61,0.36,1.0,2.0,0.0,2019-05-01 15:00:00
16,17,203.849609375,118.858642578125,337.0,0.6,0.35,1.0,2.0,0.0,2019-05-01 16:00:00
17,18,170.384765625,97.544921875,281.0,0.61,0.35,1.0,2.0,0.0,2019-05-01 17:00:00
18,19,152.966796875,88.205078125,246.0,0.62,0.36,1.0,2.0,0.0,2019-05-01 18:00:00
19,20,135.396484375,81.367431640625,215.0,0.63,0.38,1.0,2.0,0.0,2019-05-01 19:00:00
20,21,118.970703125,69.52880859375,185.0,0.64,0.38,1.0,2.0,0.0,2019-05-01 20:00:00
21,22,73.509765625,43.017822265625,119.0,0.62,0.36,1.0,2.0,0.0,2019-05-01 21:00:00
22,23,39.537109375,23.177734375,68.0,0.58,0.34,1.0,2.0,0.0,2019-05-01 22:00:00
23,24,124.498046875,115.4228515625,142.0,0.88,0.81,2.0,3.0,0.0,2019-05-01 23:00:00
24,25,58.966796875,52.671630859375,73.0,0.81,0.72,2.0,3.0,0.0,2019-05-02 00:00:00
25,26,16.54296875,10.629638671875,29.0,0.57,0.37,2.0,3.0,0.0,2019-05-02 01:00:00
26,27,14.009765625,9.3369140625,22.0,0.64,0.42,2.0,3.0,0.0,2019-05-02 02:00:00
27,28,8.36328125,5.501953125,13.0,0.64,0.42,2.0,3.0,0.0,2019-05-02 03:00:00
28,29,6.740234375,4.16796875,11.0,0.61,0.38,2.0,3.0,0.0,2019-05-02 04:00:00
